city_state,grand_total_rev,grand_total_spending,rev_minus_spend,rem_bal_2002,rem_bal_2003,rem_bal_2004,rem_bal_2005,rem_bal_2006,rem_bal_2007,rem_bal_2008,rem_bal_2009,rem_bal_2010,rem_bal_2011,rem_bal_2012,rem_bal_2013,rem_bal_2014,rem_bal_2015,rem_bal_2016,2003_percent_change,2004_percent_change,2005_percent_change,2006_percent_change,2007_percent_change,2008_percent_change,2009_percent_change,2010_percent_change,2011_percent_change,2012_percent_change,2013_percent_change,2014_percent_change,2015_percent_change,2016_percent_change,outlier,money_mgmt
Akron_OH,81575.4,87166.39000000001,-5590.99,-168.51999999999953,-112.26999999999953,-111.69000000000051,-162.80000000000018,-184.8199999999997,-400.78000000000065,-162.3699999999999,-1225.7300000000005,-714.1899999999996,-889.3999999999996,-38.210000000000036,-226.72000000000025,-75.77999999999975,-728.7800000000007,-388.9299999999994,-0.33378827438879755,-0.0051661173955555376,0.45760587339958314,0.1352579852579822,1.1684882588464522,-0.5948650132242137,6.548993040586323,-0.41733497589191804,0.24532687380108953,-0.9570384528895884,4.933525255168805,-0.6657551164431913,8.617049353391437,-0.4663272866983191,0.0,2
Albuquerque_NM,61990.31,60122.359999999986,1867.9500000000003,51.090000000000146,44.94999999999982,237.52999999999975,177.48000000000047,752.6500000000001,224.14999999999964,249.5,-95.30999999999949,-88.78999999999996,-71.18000000000029,84.84000000000015,7.360000000000127,110.42000000000007,5.440000000000055,177.8199999999997,-0.12018007437855373,4.284315906562863,-0.25281017134677447,3.240759522199674,-0.7021856108416932,0.11309391032790722,-1.38200400801603,-0.06840835169446607,-0.19833314562450366,-2.191907839280694,-0.9132484677039119,14.002717391304099,-0.950733562760369,31.68749999999962,0.0,3
Anaheim_CA,115036.40000000001,114861.73999999999,174.66000000000258,353.85000000000036,-514.6900000000005,160.78999999999996,-51.72999999999956,-373.1400000000003,-481.1700000000001,6.1200000000008,60.0,-292.0100000000002,-233.51999999999953,81.0,491.5600000000004,151.9300000000003,850.5100000000002,-34.839999999999236,-2.4545428854034195,-1.3124016398220284,-1.3217239878101845,6.213222501449903,0.28951599935680883,-1.0127189974437325,8.80392156862617,-5.866833333333337,-0.20030135954248363,-1.346865364850977,5.068641975308647,-0.6909227764667586,4.598038570394251,-1.0409636570998568,0.0,3
Anchorage_AK,79993.7,84918.78000000001,-4925.080000000002,-1109.3199999999997,-480.72000000000025,-372.28999999999996,-242.25,-196.8699999999999,112.9399999999996,-755.0500000000002,-1576.0600000000004,-252.75,-128.71000000000004,-161.40000000000055,-31.81999999999971,351.0,-174.1300000000001,92.34999999999945,-0.5666534453539102,-0.22555749708770226,-0.34929759058798243,-0.18732714138286938,-1.5736780616650565,-7.685408181335248,1.0873584530825773,-0.8396317399083791,-0.4907616221562808,0.253981819594441,-0.8028500619578711,-12.030798240100667,-1.4960968660968663,-1.5303508872681295,0.0,2
Arlington_TX,67846.32,68864.29999999999,-1017.98,-59.00999999999976,-61.76000000000022,116.9399999999996,324.28999999999996,104.76999999999953,360.1199999999999,-677.7300000000005,-454.8800000000001,-269.4299999999994,-186.9400000000005,-78.47999999999956,-115.9399999999996,28.63000000000011,52.090000000000146,-100.64999999999964,0.04660227080156695,-2.893458549222785,1.7731315204378406,-0.676924974559809,2.4372434857306624,-2.8819560146617813,-0.32881826095937944,-0.40768994020401134,-0.3061648665701632,-0.5801861559858813,0.47731906218145065,-1.2469380714162517,0.8194201886133408,-2.932232674217688,0.0,2
Atlanta_GA,138269.05,151192.51,-12923.460000000006,-545.7900000000009,-1643.92,-738.6100000000006,-936.8899999999994,-722.2600000000002,-703.9800000000014,-1298.5100000000002,-3092.9400000000005,-1017.2200000000012,-173.36000000000058,-740.3199999999997,85.85000000000036,654.4099999999999,-783.3100000000004,-1266.6100000000006,2.012000952747389,-0.5507019806316605,0.2684501969916447,-0.22908772641398598,-0.025309445352087657,0.8445268331486657,1.3819146560288331,-0.6711155082219503,-0.82957472326537,3.2704199353945387,-1.115963367192566,6.62271403610946,-2.196971317675464,0.6169971020413373,0.0,2
Aurora_CO,74896.06,81281.18,-6385.119999999997,-564.2399999999998,-673.0499999999993,-506.1300000000001,-82.79999999999927,11.989999999999782,-492.8099999999995,-288.84999999999945,-942.8900000000003,-1030.9299999999994,-374.8200000000006,-457.5799999999999,-157.92000000000007,-143.15999999999985,-228.8699999999999,-453.0599999999995,0.19284347086346154,-0.248005348785379,-0.8364056665283638,-1.1448067632850227,-42.10175145955033,-0.4138714717639663,2.264289423576258,0.09337250368547659,-0.6364253635067358,0.22079931700549377,-0.6548800209799377,-0.0934650455927065,0.5987007544006714,0.9795517105780561,0.0,2
Aurora_IL,66941.77,68240.57999999999,-1298.8100000000022,-152.97000000000025,-87.5600000000004,-367.75,-138.25,-97.10000000000036,-70.94000000000051,-161.5,-649.7800000000007,-536.1300000000001,204.70000000000073,136.69999999999982,322.3699999999999,257.72000000000025,124.8799999999992,-83.19999999999982,-0.427600183042425,3.199977158519853,-0.6240652617267165,-0.29764918625677855,-0.2694129763130768,1.2765717507752867,3.023405572755422,-0.1749053525808742,-1.381810381810383,-0.3321934538348836,1.3582297000731551,-0.20054595650959972,-0.515443116560612,-1.6662395900064089,0.0,2
Austin_TX,99516.54999999999,103165.81999999999,-3649.2700000000013,-551.0299999999997,-805.5500000000002,195.19999999999982,-168.94999999999982,-275.4899999999998,321.58999999999924,39.710000000000036,-1935.5900000000001,-21.590000000000146,-94.0600000000004,-121.55000000000018,-68.38999999999942,78.77999999999975,-112.60000000000036,-129.75,0.4618986262091003,-1.2423189125442242,-1.8655225409836065,0.6306007694584201,-2.167338197393733,-0.8765197922820979,-49.743137748677874,-0.9888457782898237,3.3566465956461218,0.2922602594088844,-0.4373508844097136,-2.151922795730376,-2.4292967758314385,0.15230905861456112,0.0,2
Bakersfield_CA,100299.29000000001,97010.70999999999,3288.580000000001,609.6700000000001,151.85000000000036,600.4499999999998,337.10000000000036,462.77999999999975,1215.88,-827.0,-988.2600000000002,-143.63999999999942,669.8100000000004,149.3199999999997,383.8299999999999,492.75,76.84999999999945,97.19000000000051,-0.7509308314333978,2.954231149160345,-0.4385877258722617,0.3728270542865596,1.6273391244219733,-1.6801658058361022,0.19499395405078623,-0.8546536336591591,-5.663116123642461,-0.7770711097176817,1.570519689257974,0.2837714613240239,-0.8440385591070534,0.2646714378659883,0.0,3
